,tmdb_id,name,original_name,keywords,airing_date,directors,cast,genres,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,networks,production_companies,cast_popularity
0,99966,All of Us Are Dead,지금 우리 학교는,high school;bullying;based on comic;horror;coming of age;survival;apocalypse;zombie;virus;based on webcomic or webtoon,2022-01-28,JQ Lee,Park Ji-hu;Yoon Chan-young;Cho Yi-hyun;Lomon;Yoo In-soo;Lee You-mi;Kim Byung-chul;Lee Kyoo-hyung;Jeon Bae-soo,Action & Adventure;Drama;Sci-Fi & Fantasy,2.0,12.0,65.0,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,398.111,8.421,2750.0,Netflix,Kim Jong-hak Production;SLL;Film Monster,82.507
1,93405,Squid Game,오징어 게임,secret organization;challenge;survival;fictional game show;cruelty;game;death match;prize,2021-09-17,Hwang Dong-hyuk,Lee Jung-jae;Park Hae-soo;Jung Ho-yeon;Wi Ha-jun;Oh Young-soo;Heo Sung-tae;Kim Joo-ryoung;Anupam Tripathi;Lee You-mi,Action & Adventure;Mystery;Drama,2.0,9.0,54.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",323.945,7.835,11835.0,Netflix,Siren Pictures,68.42799999999998
2,136699,Glitch,글리치,friendship;investigation;ufo;miniseries;suspense,2022-10-07,Roh Deok,Jeon Yeo-been;Nana;Lee Dong-hwi;Ryu Kyung-soo;Ko Chang-seok;Kim Nam-hee;Kim Myung-gon;Son Sook;Back Joo-hee;Jung Da-bin;Tae Won-seok;Lee Min-goo;Park Won-suk;Jeon Bae-soo;Kim Kuk-hee;Park Su-young;Ahn Se-ho;Choi Su-im;Kim Han-na,Drama;Comedy;Mystery;Sci-Fi & Fantasy,1.0,10.0,54.0,A young woman joins forces with a UFO enthusiast to investigate her boyfriend’s sudden disappearance and stumbles into a wild conspiracy.,223.442,7.674,43.0,Netflix,Studio 329,81.095
3,197067,Extraordinary Attorney Woo,이상한 변호사 우영우,court case;court;autism;lawyer;courtroom;law firm;father daughter relationship;slight romance,2022-06-29,Yoo In-sik,Park Eun-bin;Kang Tae-oh;Kang Ki-young;Jeon Bae-soo;Baek Ji-won;Jin Kyung;Ha Yoon-kyung;Joo Jong-hyuk;Joo Hyun-young;Im Sung-jae,Drama;Comedy,1.0,16.0,70.0,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,147.054,8.31,381.0,Netflix;ENA,AStory;KT Studio Genie,131.091
4,129473,Young Lady and Gentleman,신사와 아가씨,tutor;family;single father;healing;rich man poor woman,2021-09-25,,Ji Hyun-woo;Lee Se-hee;Park Ha-na;Oh Hyun-kyung;Cha Hwa-yeon;Yoon Jin-yi;Kim Young-ok;Lee Hwi-hyang;Kang Eun-Tak;Lee Jong-won;Kim Yi-kyeong;Choi Myeong-bin;Yuk Jun-seo;Seo Woo-jin;Lee Il-hwa;Yoon Ji-sook;Yang Byeong-yeol;Lim Ye-Jin;Wang Bit-na;An Woo-yeon,Comedy;Drama;Family,1.0,52.0,70.0,"Lee Young Kook is a widower with three children. He still hasn’t gotten over the death of his wife. He decides to hire Park Dan Dan as a live-in tutor for his kids and he becomes attracted to her. Meanwhile, Park Dan Dan has bright and positive personality despite her harsh situation.",128.825,8.125,8.0,KBS2,,71.909
5,154825,Business Proposal,사내맞선,based on novel or book;businessman;fake identity;blind date;romance;heir;office romance;rich man poor woman;secondary couple;boss/employee relationship,2022-02-28,Park Seon-ho,Ahn Hyo-Seop;Kim Se-jeong;Kim Min-gue;Seol In-a;Lee Duck-hwa;Kim Kwang-kyu;Jung Young-ju;Kim Hyun-sook;Song Won-seok;Choi Byung-chan;Im Gi-hong;Yun Sang-jeong;Bae Woo-hee;Seo Hye-won;Lee Soo-jung;Choi Kyung-min;Ahn Hyo-Seop;Kim Min-sik;Oh Jin-ha;Kim Jung-soo;Kim Young-ah;Hwang Bo-ra;Kim Jung-young;Choi Nam-Wook;Ok Joo-ri;Park Jae-jun;Kim Kyu Jong;Na Eun Saem;Kim Sung-Yong;Jang Soon-mi;Im Yu-Ran;Ariane Desgagnés-Leclerc,Comedy;Drama,1.0,12.0,60.0,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,126.273,8.388,103.0,SBS;Netflix,Kross Pictures;Studio S;Kakao Entertainment,128.46999999999997
6,133091,My Sweet Dear,마이스윗디어,restaurant;rivalry;co-workers relationship;chef;lgbt,2021-10-21,,Jang Eui-soo;Lee Chan-hyung;Jang Do-yoon;Jo Seo-hoo;Oh Seung-jun,Drama,1.0,8.0,15.0,"A youthful romance set in a restaurant between an extraordinary genius chef, Choi Jung Woo and Laura Dining's head chef, Yoon Do Geon.",117.343,4.8,5.0,Viki;LINE TV;WeTV,Rakuten Viki,7.421999999999999
7,106651,Hellbound,지옥,hell;cult;based on cartoon;supernatural creature;based on webcomic or webtoon;seoul;south korea,2021-11-19,Yeon Sang-ho,Yoo Ah-in;Kim Hyun-joo;Park Jeong-min;Won Jin-a;Yang Ik-june;Kim Do-yoon;Kim Shin-rok;Ryu Kyung-soo;Lee Re,Drama;Crime;Sci-Fi & Fantasy,2.0,6.0,52.0,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice.",112.719,7.515,687.0,Netflix,Climax Studios,58.425
8,208336,Revenge of Others,3인칭 복수,revenge,2022-11-09,,Shin Ye-eun;Lomon;Seo Ji-hoon;Chae Sang-woo;Lee Soo-min;Chung Su-bin;Kim Joo-ryoung;Woo Yeon;Jin Ho-eun;Yeon Oh,Drama,1.0,12.0,60.0,"A boy falls to his death at school, but Ok Chanmi does not believe that her twin brother, Park Wonseok, committed suicide. Chanmi transfers to her brother's school, Yongtan High, and meets Ji Sooheon, who witnessed her brother's death.",97.551,7.3,3.0,Disney+,Studio S,50.481
9,93490,My Country: The New Age,나의 나라,friendship;romance;king;political intrigue ;historical drama;joseon dynasty;goryeo dynasty,2019-10-04,,Yang Se-jong;Woo Do-hwan;Kim Seol-hyun;Jang Hyuk;Kim Yeong-cheol;Park Ye-jin;Yu Oh-seong;Jang Young-nam;Ji Seung-hyun;In Gyo-jin,Drama;Action & Adventure,1.0,16.0,70.0,"Set during the turbulent time of the fall of Goryeo and the founding of Joseon, two former friends face-off against one another over a woman and the future shape of the nation.",96.015,7.6,26.0,Netflix;JTBC,SLL;Celltrion Entertainment,56.68599999999999
